aday,recall,precision,F1,yeni başlayan recall,eşik aralığı,MAE,RMSE,"sapma ≥55,5",sapma <10,zaman,deney
l2,0.8243782622044826,0.5722506393861893,0.6755566737954459,0.6120689655172413,28–29.5,6.819139999942198,10.936413184644461,-22.96082224912589,3.597464223540036,2026-09-23T12:25:16,zirve_bastirma_h24
log1p,0.854774332207553,0.5264418531358336,0.6515837104072397,0.6695402298850575,23–25,6.766807849104049,11.382066290905499,-28.776287053107986,2.1707135553268433,2026-09-23T12:25:16,zirve_bastirma_h24
tweedie,0.8596868283696654,0.5262498433780228,0.6528581976450473,0.6799895506792059,24.5–26.5,6.731323141739291,11.1271863431437,-26.628660602294435,2.8581647091224367,2026-09-23T12:25:16,zirve_bastirma_h24
agirlikli,0.8341009108586634,0.565383281304197,0.6739436037376995,0.6345350052246604,28.5–30.5,7.042794421483167,11.091400779015316,-22.019871866361125,4.172067926877605,2026-09-23T12:25:16,zirve_bastirma_h24
siniflandirici,0.8415719987718759,0.5655044357334433,0.6764560710760118,0.635841170323929,0.12–0.17,,,,,2026-09-23T12:25:16,zirve_bastirma_h24
